fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y
0,HOTEL PUERTO DE LAS NIEVES,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES705,Gran Canaria,ES705B9,Entidad no turística de Gran Canaria,ES705B90,Núcleo no turístico de Gran Canaria,"35001",Agaete,"AVENIDA ALCALDE JOSÉ DE ARMAS, S/N",30,60,-15.71052,28.102738,esuzf7zyq6,430205.25,3108787.13
1,ELBA LUCIA SPORT & SUITE HOTEL,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES704,Fuerteventura,ES704B1,Caleta de Fuste,ES704B10,Caleta de Fuste,"35003",Antigua,URBANIZACIÓN COSTA ANTIGUA S/N,169,338,-13.855458,28.414082,etn1sswu02,612105.26,3143606.59
2,APARTAMENTOS PUERTO PRINCIPE,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,"35012",Mogán,"CALLE VENEGUERA, 7",12,24,-15.715894,27.78622,esuy46k43n,429472.03,3073726.64
3,APARTAMENTOS LA PALMERA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES703,El Hierro,ES703B0,El Hierro,ES703B00,El Hierro,"38013",Frontera,C/MERESE Nş3,4,8,-18.019669,27.7529,esgjvuq2r7,202345.43,3073485
4,PENSION CENTRAL,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38014",Fuencaliente,"CALLE YAIZA, 1",6,11,-17.844397,28.494633,et561gq172,221556.39,3155296.46
5,HOTEL LA PALMA & TENEGUÍA PRINCESS,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38014",Fuencaliente,"CALLE CTRA- LA COSTA CERCA VIEJA, 10",625,1250,-17.873682,28.502574,et561k8z90,218709.39,3156245.13
6,APARTAMENTOS LOS VOLCANES,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38014",Fuencaliente,"LOS CANARIOS, 86",7,18,-17.844452,28.494167,et561gnnd1,221549.78,3155244.93
7,HOTEL SAN ROQUE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38015",Garachico,"CALLE ESTEBAN DE PONTE, 32",20,40,-16.764249,28.374318,eth16t2sks,327122.61,3139933.76
8,HOTEL RURAL EL PATIO,ALOJAMIENTOS,H0,5510_L4,Hotel Rural,"0",Categoría única,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38015",Garachico,"FINCA MALPAIS, 11",30,75,-16.738655,28.37629,eth17jerc5,329634.13,3140115.83
9,HOTEL EMBLEMATICO GARA,ALOJAMIENTOS,H0,5510_L3,Hotel Emblemático,"0",Categoría única,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38015",Garachico,"ESTEBAN DE PONTE, 7",15,30,-16.765558,28.37314,eth16mptw0,326992.41,3139805.11
10,HOTEL RURAL LA QUINTA ROJA,ALOJAMIENTOS,H0,5510_L4,Hotel Rural,"0",Categoría única,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38015",Garachico,GLORIETA DE SAN FRANCISCO S/N,19,38,-16.764279,28.373403,eth16t0x5c,327118.19,3139832.41
11,HOTEL ISLA BAJA SUITES,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38015",Garachico,"C/. ESTEBAN DE PONTE, Nş 3",7,14,-16.765623,28.372891,eth16mpshd,326985.63,3139777.61
